,Tweet,Sentimiento
0,colombia recibio dosis de astrazeneca1234 donadas por el gobierno canadiense german escobar jefe de gabinete de minsaludcol recibio de la embajadora de canada marianick tremblay e ivy talavera representante e de opsomscolinfopresidencia canadaycolombia,neutral
1,a proposito del año pnv terminamos con cero perdidas de vacunas a nivel nacional minsaludcol logro reposicion del gracias a moderna astrazeneca sinovac y donacion españa por el apoyo al pais politica de frascos abiertos infopresidencia cgrcolombia pgncol,positive
2,queremos agradecer al gobierno canadiense y su pm justintrudeau asi como la labor de la canadaycolombia marianickt y la opsomscol por la donacion de mil dosis de astrazeneca las relaciones se siguen afianzando y se unen en la lucha contra el covid,neutral
3,aestahora colombia recibe dosis de vacunas de astrazeneca donadas por el gobierno de canada con las que seguiremos reforzando la vacunacion en el pais y protegiendo a la poblacion contra la covidmarianickt opsomscol germanescobarm,neutral
4,hablando de por que las vacunas no se deben usar alguien sabe porque invimacolombia permite el uso de estas vacunas vs covid de astrazeneca cancino sputnik y johnson johnson que facilitan el contagio vih,negative
5,recordemos que el intervalo de aplicacion de pfizer astrazeneca y moderna son diasnos informan desde minsaludcol que estan esperando la legalizacion en el pais de este ultimo biologico para poderlo distribuir cuando nos hagan entrega lo estaremos comunicando,negative
6,con la llegada de nuevas dosis de astrazeneca janssen y sinovac los equipos de sectorsalud estan desde la madrugada llevando estas vacunas a todos los puntos seguimos a la espera de mas pfizer y moderna pero mientras tanto avanzamos con todo el entusiasmo bogotaestamejorando,positive
7,escasez de terceras dosis en medellin para hoy solo habia algo mas de todas de astrazeneca minsaludcol fruizgomez,negative
8,vayan a vacunarse la sectorsalud habilito mas puntos y las filas estan tranquilas hoy ya hay astrazeneca,positive
9,todos a vacunarse disponible dosis de pfizer moderna y janssen en el colegio san pedro,positive
10,debe esperar meses para aplicarse la segunda dosis de pfizer,positive
11,bogota esta pasando por un mal momento en vacunacion hay poca gente en los puntos de vacunacion recuerden que en el pabellon de corferias puden encontrar dosis de pfizer y moderna,negative
12,pocas dosis de pfizer en arauca olvidados totalmente por minsaludcol,negative
13,el gobierno habilito puntos mas de vacunacion en la ciudad de medellin se estaran administrando dosis de pfizer y moderna en el colegio santo tomas y el coliseo del pueblo,positive
14,el minsaludcol dio a conocer hoy que aquellos que fueron vacunados con la dosis de janssen pueden adquirir una dosis de refuerzo de moderna o astrazeneca,negative
15,la sectorsalud dio a conocer que las vacunas de pfizer en bogota se priorizaran para mujeres gestantes por orden del minsaludcol los refuerzos para el resto de la poblacion en bogota se haran con las vacunas de sinovac astrazeneca y janssen,neutral
16,gente hablando de las vacunas como si fueran expertos hace rato me puse la dosis de janssen y nada ha cambiado con mi salud,positive
17,mucha gente se esta quedando con el esquema de vacunacion incompleto recuerden que pueden pasar por sus segundas y terceras dosis de pfizer y moderna hoy y mañana en las instalaciones del colegio san ignacio,positive
18,pocas dosis para refuerzo solo se encuentra pfizer los de moderna estamos esperando la llegada de mas dosis minsaludcol fruizgomez,negative
19,filas muy largas hoy para ponerse la dosis de sinovac en envigado hoy,negative
20,listo vacunado finalmente primera dosis de pfizer,positive
21,buenas noticias estudio revela que las vacunas de arn astrazeneca y novavax preserva la inmunidad celular mediada por linfocitos tcd y tcd hasta meses en un para diferentes variantes incluida omicron,neutral
22,ya tengo las tres dosis de pfizer gracias minsalud,positive
23,larga fila hoy en corferias para obtener dosis de pfizer,negative
24,con la llegada de nuevas dosis de astrazeneca janssen y sinovac los equipos de sectorsalud estan desde la madrugada llevando estas vacunas a todos los puntosseguimos a la espera de mas pfizer y moderna pero mientras tanto avanzamos con todo el entusiasmo bogotaestamejorando,positive
25,no hay dosis de sinovac en valledupar minsaludcol,negative
26,vayan a vacunarse la sectorsalud habilito mas puntos y las filas estan tranquilas hoy ya hay astrazeneca,positive
27,ya me toco ir a ponerme sinovac me estuvieron exigiendo en el trabajo que me hiciera vacunar,positive
